device,base_model,benchmark_model,mAP50,mAP50_cpu,accuracy_drop,latency_singlestream,latency_cpu,speedup,throughput_singlestream,throughput_offline,eta,feasible
Mobilint-ARIES,yolo12s,yolo12s,62.07860184,62.77750778,1.1133062855079832,33.43457043,143.7807615,4.300362159610375,29.909162496752916,268.4211375,8.974545426644463,1
Mobilint-ARIES,yolov10m,yolov10m,65.39327239999999,66.39168549,1.5038224781179808,34.74284372,310.12430730000005,8.926278741008021,28.782905857079907,266.555759,9.260905077602986,1
Mobilint-ARIES,yolov10n,yolov10n,52.48755264,53.98374176,2.7715550482805287,14.13863877,50.94619524,3.6033309902576995,70.72816671162467,770.5353261,10.894320635252054,1
Mobilint-ARIES,yolov10s,yolov10s,61.07009506,62.26559448,1.9200000096104397,18.34375172,130.8155201,7.131339438996724,54.514475297313936,549.6647682999999,10.082914038926525,1
Mobilint-ARIES,yolov5mu,yolov5mu,59.66191101,63.77489471,6.449220682688292,26.298511699999995,302.1650964,11.489817364835899,38.024965496431506,305.8207684,8.04263105587039,0
Mobilint-ARIES,yolov5nu,yolov5nu,46.03955841,48.88421249,5.819167242556933,10.27588635,55.16334188,5.368231994897452,97.31520629361573,796.1184438999999,8.18082265065525,0
Mobilint-ARIES,yolov5su,yolov5su,57.62205124,58.55023193,1.5852724394152626,14.63528048,129.70280659999997,8.862338291175679,68.32803794683407,597.3018392999999,8.741679949375385,1
Mobilint-ARIES,yolov7,yolov7,66.30380249,66.64164734,0.5069575310411443,28.51350208,448.7389988,15.737772145314814,35.071104110407475,171.8713977,4.900655455811457,1
Mobilint-ARIES,yolov7x,yolov7x,67.9173584,68.14979553,0.3410679785498222,45.2070821,744.0225637,16.458097473625706,22.120427896406966,103.5016064,4.679005618006685,1
Mobilint-ARIES,yolov8m,yolov8m,64.80724335,65.39667511,0.9013176266355458,29.97045572,368.3289403,12.289734388463279,33.366192671293824,255.7452801,7.664802592836047,1
Mobilint-ARIES,yolov8n,yolov8n,50.44508743,51.67530823,2.3806743339090444,11.36564757,59.28260226,5.215945848653479,87.98442797395309,744.7265269999999,8.464299241912089,1
Mobilint-ARIES,yolov8s,yolov8s,57.75780487,60.59686661,4.6851626145492515,16.67117568,152.7072133,9.159954656539256,59.983771942351694,521.81315,8.699238695784192,0
Mobilint-ARIES,yolov9m,yolov9m,65.56429291,66.19837952,0.9578582052879792,28.89674963,345.3845701,11.952367464243418,34.605968242248984,243.3752482,7.032753613374507,1
Mobilint-ARIES,yolov9s,yolov9s,60.34019089,61.23288727,1.4578707942739098,18.0852401,155.00957140000003,8.571054105054433,55.29370881838611,489.6421745,8.855296288918597,1
Mobilint-ARIES,yolov9t,yolov9t,50.87014008,51.99168396,2.1571601351917518,12.78514388,62.60135047,4.896413451234465,78.2157799228459,666.2897377,8.51861016226196,1
RTX PRO 6000 Max-Q,yolo11m,yolo11m,65.75678253,65.75679016,1.160336442876943e-05,12.69702758,303.82471610000005,23.928806501025182,78.75859083547805,135.3226115,1.7181949304131252,1
RTX PRO 6000 Max-Q,yolo11n,yolo11n,54.253269200000005,54.25328064,2.1086282450517962e-05,5.879415813,51.88629889,8.825077276431784,170.08492540855778,296.82023,1.7451295538802967,1
RTX PRO 6000 Max-Q,yolo11s,yolo11s,61.56829453,61.56828308,-1.859723778146878e-05,8.144404473,125.300596,15.384869012263753,122.78368581952917,233.8204416,1.9043282504458754,1
RTX PRO 6000 Max-Q,yolo12m,yolo12m,67.24842834,67.24850464,0.00011345977192759175,15.87897827,332.3498842,20.93018067969181,62.9763441322475,107.7349475,1.710720890272091,1
